Default schedule
Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
737	0.336499	123	0.024390	140	0.800000	0.900342	737	0.336499	0.363000	0.314828	
708	0.289548	165	0.030303	127	0.677165	0.900342	708	0.289548	0.296000	0.314800	
725	0.302069	142	0.014085	133	0.684211	0.900342	725	0.302069	0.312000	0.314795	
727	0.323246	137	0.000000	136	0.727941	0.900342	727	0.323246	0.334000	0.314824	
724	0.277624	123	0.000000	153	0.745098	0.900342	724	0.277624	0.315000	0.314825	
739	0.312585	122	0.000000	139	0.748201	0.900342	739	0.312585	0.335000	0.314855	
722	0.288089	118	0.000000	160	0.737500	0.900342	722	0.288089	0.326000	0.314872	
709	0.290550	143	0.013986	148	0.722973	0.900342	709	0.290550	0.315000	0.314872	
724	0.284530	136	0.058824	140	0.735714	0.900342	724	0.284530	0.317000	0.314876	
721	0.295423	130	0.015385	149	0.771812	0.900342	721	0.295423	0.330000	0.314898	
742	0.296496	124	0.000000	134	0.738806	0.900342	742	0.296496	0.319000	0.314905	
708	0.330508	130	0.015385	162	0.746914	0.900342	708	0.330508	0.357000	0.314968	
720	0.308333	134	0.000000	146	0.691781	0.900342	720	0.308333	0.323000	0.314980	
698	0.272206	139	0.014388	163	0.723926	0.900342	698	0.272206	0.310000	0.314973	
724	0.283149	140	0.000000	136	0.742647	0.900342	724	0.283149	0.306000	0.314959	
721	0.305132	129	0.023256	150	0.780000	0.900342	721	0.305132	0.340000	0.314997	
730	0.316438	115	0.017391	155	0.825806	0.900342	730	0.316438	0.361000	0.315065	
705	0.276596	145	0.013793	150	0.793333	0.900342	705	0.276596	0.316000	0.315067	
741	0.288799	128	0.070312	131	0.786260	0.900342	741	0.288799	0.326000	0.315083	
720	0.288889	137	0.021898	143	0.769231	0.900342	720	0.288889	0.321000	0.315092	
733	0.279673	127	0.023622	140	0.750000	0.900342	733	0.279673	0.313000	0.315089	
715	0.286713	130	0.023077	155	0.761290	0.900342	715	0.286713	0.326000	0.315105	
729	0.277092	132	0.022727	139	0.683453	0.900342	729	0.277092	0.300000	0.315082	
712	0.294944	143	0.020979	145	0.772414	0.900342	712	0.294944	0.325000	0.315097	
708	0.295198	148	0.033784	144	0.736111	0.900342	708	0.295198	0.320000	0.315104	
743	0.267833	124	0.008065	133	0.751880	0.900342	743	0.267833	0.300000	0.315082	
719	0.268428	140	0.007143	141	0.801418	0.900342	719	0.268428	0.307000	0.315070	
711	0.296765	144	0.006944	145	0.758621	0.900342	711	0.296765	0.322000	0.315080	
720	0.318056	145	0.000000	135	0.748148	0.900342	720	0.318056	0.330000	0.315102	
712	0.318820	145	0.013793	143	0.734266	0.900342	712	0.318820	0.334000	0.315130	
725	0.296552	131	0.007634	144	0.743056	0.900342	725	0.296552	0.323000	0.315141	
730	0.300000	124	0.032258	146	0.746575	0.900342	730	0.300000	0.332000	0.315166	
725	0.286897	133	0.007519	142	0.739437	0.900342	725	0.286897	0.314000	0.315164	
725	0.313103	135	0.000000	140	0.728571	0.900342	725	0.313103	0.329000	0.315184	
727	0.334250	141	0.014184	132	0.765152	0.900342	727	0.334250	0.346000	0.315229	
720	0.313889	150	0.006667	130	0.723077	0.900342	720	0.313889	0.321000	0.315238	
728	0.298077	131	0.007634	141	0.765957	0.900342	728	0.298077	0.326000	0.315253	
701	0.296719	150	0.000000	149	0.805369	0.900342	701	0.296719	0.328000	0.315272	
715	0.272727	140	0.007143	145	0.717241	0.900342	715	0.272727	0.300000	0.315250	
723	0.308437	144	0.000000	133	0.751880	0.900342	723	0.308437	0.323000	0.315261	
722	0.306094	120	0.000000	158	0.683544	0.900342	722	0.306094	0.329000	0.315281	
724	0.309392	136	0.000000	140	0.714286	0.900342	724	0.309392	0.324000	0.315293	
726	0.326446	141	0.014184	133	0.729323	0.900342	726	0.326446	0.336000	0.315323	
729	0.267490	142	0.028169	129	0.759690	0.900342	729	0.267490	0.297000	0.315297	
767	0.272490	118	0.016949	115	0.782609	0.900342	767	0.272490	0.301000	0.315276	
757	0.330251	123	0.000000	120	0.800000	0.900342	757	0.330251	0.346000	0.315320	
706	0.274788	154	0.000000	140	0.750000	0.900342	706	0.274788	0.299000	0.315297	
688	0.306686	170	0.023529	142	0.732394	0.900342	688	0.306686	0.319000	0.315302	
739	0.301759	127	0.031496	134	0.798507	0.900342	739	0.301759	0.334000	0.315329	
719	0.294854	136	0.007353	145	0.703448	0.900342	719	0.294854	0.315000	0.315328	
723	0.286307	131	0.007634	146	0.760274	0.900342	723	0.286307	0.319000	0.315333	
719	0.310153	155	0.006452	126	0.706349	0.900342	719	0.310153	0.313000	0.315330	
705	0.272340	146	0.006849	149	0.684564	0.900342	705	0.272340	0.295000	0.315301	
759	0.277997	111	0.036036	130	0.776923	0.900342	759	0.277997	0.316000	0.315302	
732	0.310109	124	0.032258	144	0.743056	0.900342	732	0.310109	0.338000	0.315334	
715	0.307692	136	0.007353	149	0.805369	0.900342	715	0.307692	0.341000	0.315371	
726	0.261708	138	0.014493	136	0.779412	0.900342	726	0.261708	0.298000	0.315346	
711	0.281294	148	0.013514	141	0.702128	0.900342	711	0.281294	0.301000	0.315326	
738	0.295393	128	0.031250	134	0.783582	0.900342	738	0.295393	0.327000	0.315342	
711	0.336146	140	0.000000	149	0.771812	0.900342	711	0.336146	0.354000	0.315396	
702	0.309117	157	0.012739	141	0.794326	0.900342	702	0.309117	0.331000	0.315418	
706	0.291785	153	0.006536	141	0.758865	0.900342	706	0.291785	0.314000	0.315416	
699	0.297568	162	0.006173	139	0.755396	0.900342	699	0.297568	0.314000	0.315414	
707	0.319661	135	0.037037	158	0.734177	0.900342	707	0.319661	0.347000	0.315458	
741	0.326586	92	0.000000	167	0.802395	0.900342	741	0.326586	0.376000	0.315543	
737	0.291723	120	0.000000	143	0.762238	0.900342	737	0.291723	0.324000	0.315554	
693	0.281385	153	0.026144	154	0.759740	0.900342	693	0.281385	0.316000	0.315555	
740	0.291892	124	0.024194	136	0.764706	0.900342	740	0.291892	0.323000	0.315565	
743	0.328398	121	0.016529	136	0.639706	0.900342	743	0.328398	0.333000	0.315590	
724	0.323204	128	0.031250	148	0.635135	0.900342	724	0.323204	0.332000	0.315612	
705	0.327660	138	0.043478	157	0.668790	0.900342	705	0.327660	0.342000	0.315649	
717	0.315202	147	0.020408	136	0.661765	0.900342	717	0.315202	0.319000	0.315653	
685	0.272993	156	0.000000	159	0.761006	0.900342	685	0.272993	0.308000	0.315643	
717	0.295676	146	0.034247	137	0.729927	0.900342	717	0.295676	0.317000	0.315645	
694	0.308357	137	0.014599	169	0.727811	0.900342	694	0.308357	0.339000	0.315677	
719	0.300417	119	0.008403	162	0.691358	0.900342	719	0.300417	0.329000	0.315695	
720	0.238889	123	0.000000	157	0.828025	0.900342	720	0.238889	0.302000	0.315676	
732	0.281421	126	0.039683	142	0.746479	0.900342	732	0.281421	0.317000	0.315678	
740	0.291892	108	0.046296	152	0.743421	0.900342	740	0.291892	0.334000	0.315703	
736	0.322011	125	0.024000	139	0.834532	0.900342	736	0.322011	0.356000	0.315758	
721	0.342580	139	0.035971	140	0.728571	0.900342	721	0.342580	0.354000	0.315810	
725	0.278621	133	0.000000	142	0.788732	0.900342	725	0.278621	0.314000	0.315808	
721	0.294036	150	0.020000	129	0.697674	0.900342	721	0.294036	0.305000	0.315793	
698	0.287966	159	0.006289	143	0.692308	0.900342	698	0.287966	0.301000	0.315773	
720	0.290278	146	0.006849	134	0.746269	0.900342	720	0.290278	0.310000	0.315765	
721	0.330097	128	0.007812	151	0.774834	0.900342	721	0.330097	0.356000	0.315820	
757	0.284016	114	0.000000	129	0.775194	0.900342	757	0.284016	0.315000	0.315818	
718	0.281337	136	0.007353	146	0.712329	0.900342	718	0.281337	0.307000	0.315807	
684	0.321637	137	0.007299	179	0.782123	0.900342	684	0.321637	0.361000	0.315867	
690	0.305797	145	0.006897	165	0.812121	0.900342	690	0.305797	0.346000	0.315908	
686	0.288630	146	0.006849	168	0.773810	0.900342	686	0.288630	0.329000	0.315926	
736	0.317935	104	0.000000	160	0.768750	0.900342	736	0.317935	0.357000	0.315981	
