Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
140000	-462.482460	1	2	0	'1 0 1 1 1 0 1 0 	D	0.747355	0.017771	0.747355	0.747355	0.747355	0.017771	0.747355	0.017771	0.255600	0.260524	0.219375	0.264501	0.497688	
141000	-461.966903	1	2	0	'1 0 1 1 1 0 1 0 	D	0.671771	0.018932	0.671771	0.671771	0.671771	0.018932	0.671771	0.018932	0.257494	0.267004	0.200788	0.274714	0.223632	
142000	-461.796537	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.715617	0.057248	0.715617	0.715617	0.715617	0.715617	0.715617	0.000000	0.248736	0.249995	0.250002	0.251267	0.553312	
143000	-462.094146	1	2	0	'1 0 1 1 1 1 1 0 	D	0.579519	0.033579	0.579519	0.579519	0.579519	0.579519	0.579519	0.033579	0.238180	0.250196	0.249370	0.262255	0.798948	
144000	-462.085319	1	2	1	'1 0 1 1 Z 1 1 0 	D	0.622739	0.010068	0.622739	0.622739	0.000000	0.622739	0.622739	0.010068	0.250683	0.259467	0.222271	0.267579	0.394791	
145000	-463.746466	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.772221	0.000000	0.772221	0.772221	0.772221	0.772221	0.772221	0.059050	0.245972	0.250033	0.250030	0.253966	0.289891	
146000	-462.448617	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.524039	0.048394	0.524039	0.524039	0.524039	0.524039	0.524039	0.000000	0.240669	0.250450	0.249148	0.259733	0.271650	
147000	-462.426813	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.656711	0.097724	0.656711	0.656711	0.656711	0.656711	0.656711	0.000000	0.247552	0.250025	0.249835	0.252587	0.369744	
148000	-462.243191	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.638799	0.000000	0.638799	0.638799	0.638799	0.638799	0.638799	0.049602	0.237902	0.250089	0.249977	0.262032	0.412190	
149000	-463.155500	1	2	2	'1 Z 1 1 Z 1 1 0 	D	0.678427	0.000000	0.678427	0.678427	0.000000	0.678427	0.678427	0.028202	0.252516	0.256752	0.230452	0.260281	0.907467	
150000	-461.840102	1	2	0	'1 0 1 1 0 1 1 0 	D	0.620898	0.013579	0.620898	0.620898	0.013579	0.620898	0.620898	0.013579	0.250659	0.259097	0.223600	0.266644	0.680521	
151000	-461.787345	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.694918	0.036410	0.694918	0.694918	0.694918	0.694918	0.694918	0.000000	0.248438	0.249975	0.250094	0.251493	0.407501	
152000	-462.075136	1	2	1	'1 0 1 1 1 0 1 Z 	D	0.637918	0.037322	0.637918	0.637918	0.637918	0.037322	0.637918	0.000000	0.251471	0.270875	0.188738	0.288916	0.920798	
153000	-464.597309	1	2	1	'1 0 1 1 1 Z 1 0 	D	0.545524	0.030630	0.545524	0.545524	0.545524	0.000000	0.545524	0.030630	0.256915	0.287542	0.145169	0.310374	0.578556	
154000	-461.364646	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.660756	0.057192	0.660756	0.660756	0.660756	0.660756	0.660756	0.000000	0.247776	0.250010	0.249974	0.252240	0.566820	
155000	-462.900707	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.508022	0.040811	0.508022	0.508022	0.508022	0.508022	0.508022	0.000000	0.238984	0.250533	0.249165	0.261318	0.652977	
156000	-462.240305	1	2	0	'1 0 1 1 1 0 1 0 	D	0.719737	0.011656	0.719737	0.719737	0.719737	0.011656	0.719737	0.011656	0.256768	0.262720	0.212612	0.267899	0.258255	
157000	-462.997395	1	2	3	'1 0 1 1 Z Z 1 Z 	D	0.629531	0.024073	0.629531	0.629531	0.000000	0.000000	0.629531	0.000000	0.283393	0.335078	0.000000	0.381530	0.710304	
158000	-462.610935	1	2	2	'1 0 1 1 1 Z 1 Z 	D	0.633289	0.048440	0.633289	0.633289	0.633289	0.000000	0.633289	0.000000	0.250068	0.278203	0.167436	0.304292	0.625470	
159000	-463.000983	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.683217	0.110209	0.683217	0.683217	0.683217	0.683217	0.683217	0.000000	0.248103	0.250008	0.249881	0.252008	0.631589	
160000	-461.696680	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.594570	0.031205	0.594570	0.594570	0.594570	0.594570	0.594570	0.000000	0.245502	0.249941	0.250376	0.254182	0.483725	
161000	-462.101214	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.628314	0.023738	0.628314	0.628314	0.628314	0.628314	0.628314	0.000000	0.246794	0.249856	0.250559	0.252791	0.592797	
162000	-462.602157	1	2	2	'1 0 1 1 1 Z 1 Z 	D	0.643836	0.049235	0.643836	0.643836	0.643836	0.000000	0.643836	0.000000	0.250492	0.276852	0.171474	0.301183	0.820144	
163000	-463.381145	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.809681	0.042370	0.809681	0.809681	0.809681	0.809681	0.809681	0.000000	0.249498	0.249994	0.250014	0.250495	0.661991	
164000	-461.442057	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.670342	0.060021	0.670342	0.670342	0.670342	0.670342	0.670342	0.000000	0.247984	0.250007	0.249971	0.252038	0.416590	
165000	-463.051937	1	2	1	'1 0 1 1 1 0 1 Z 	D	0.780262	0.045855	0.780262	0.780262	0.780262	0.045855	0.780262	0.000000	0.251469	0.258569	0.224982	0.264980	0.819616	
166000	-463.354186	1	2	1	'1 0 1 1 1 Z 1 0 	D	0.520559	0.015375	0.520559	0.520559	0.520559	0.000000	0.520559	0.015375	0.256247	0.290096	0.133763	0.319894	0.206038	
167000	-461.407064	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.590030	0.047762	0.590030	0.590030	0.590030	0.590030	0.590030	0.000000	0.245336	0.250076	0.249909	0.254679	0.351802	
168000	-464.526792	1	2	0	'1 0 1 1 1 1 1 0 	D	0.854220	0.020647	0.854220	0.854220	0.854220	0.854220	0.854220	0.020647	0.248688	0.249997	0.250005	0.251310	0.696230	
169000	-463.229150	1	2	2	'1 0 1 1 1 Z 1 Z 	D	0.680811	0.061684	0.680811	0.680811	0.680811	0.000000	0.680811	0.000000	0.249486	0.273839	0.180683	0.295992	0.435862	
170000	-462.199384	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.534752	0.043641	0.534752	0.534752	0.534752	0.534752	0.534752	0.000000	0.241653	0.250300	0.249551	0.258496	0.805323	
171000	-461.402680	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.665945	0.043342	0.665945	0.665945	0.665945	0.665945	0.665945	0.000000	0.247901	0.249988	0.250062	0.252049	0.417102	
172000	-462.253366	1	2	1	'1 0 1 1 1 0 1 Z 	D	0.627070	0.042950	0.627070	0.627070	0.627070	0.042950	0.627070	0.000000	0.249271	0.272341	0.184492	0.293896	0.430446	
173000	-464.399360	1	2	3	'1 Z 1 1 Z Z 1 0 	D	0.694916	0.000000	0.694916	0.694916	0.000000	0.000000	0.694916	0.013863	0.341002	0.334983	0.000000	0.324015	0.552040	
174000	-463.099794	1	2	0	'1 0 1 1 1 1 1 0 	D	0.731980	0.011160	0.731980	0.731980	0.731980	0.731980	0.731980	0.011160	0.246001	0.249957	0.250109	0.253933	0.284421	
175000	-462.992421	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.706336	0.000000	0.706336	0.706336	0.706336	0.706336	0.706336	0.024555	0.242020	0.249959	0.250153	0.257868	0.244046	
176000	-463.052075	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.737296	0.000000	0.737296	0.737296	0.737296	0.737296	0.737296	0.050764	0.244464	0.250035	0.250037	0.255464	0.348405	
177000	-462.186766	1	2	1	'1 0 1 1 Z 1 1 0 	D	0.617430	0.020852	0.617430	0.617430	0.000000	0.617430	0.617430	0.020852	0.253754	0.261578	0.216979	0.267689	0.693367	
178000	-461.499964	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.686228	0.054079	0.686228	0.686228	0.686228	0.686228	0.686228	0.000000	0.248295	0.249998	0.250004	0.251703	0.804688	
179000	-462.715121	1	2	1	'1 0 1 1 1 Z 1 0 	D	0.557984	0.009163	0.557984	0.557984	0.557984	0.000000	0.557984	0.009163	0.259662	0.283204	0.152159	0.304975	0.156052	
180000	-463.276075	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.809713	0.064755	0.809713	0.809713	0.809713	0.809713	0.809713	0.000000	0.249498	0.249996	0.250000	0.250507	0.177625	
181000	-462.426455	1	2	1	'1 0 1 1 Z 1 1 0 	D	0.747749	0.016843	0.747749	0.747749	0.000000	0.747749	0.747749	0.016843	0.251420	0.254042	0.238259	0.256279	0.383174	
182000	-461.650891	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.642666	0.074721	0.642666	0.642666	0.642666	0.642666	0.642666	0.000000	0.247264	0.250036	0.249861	0.252839	0.082179	
183000	-462.125516	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.645814	0.000000	0.645814	0.645814	0.645814	0.645814	0.645814	0.035918	0.237793	0.250005	0.250080	0.262122	0.642961	
184000	-463.330360	1	2	2	'1 Z 1 1 Z 1 1 0 	D	0.702121	0.000000	0.702121	0.702121	0.000000	0.702121	0.702121	0.022009	0.249332	0.254150	0.237905	0.258612	0.462375	
185000	-463.524750	1	2	2	'1 0 1 1 0 Z 1 Z 	D	0.685650	0.031799	0.685650	0.685650	0.031799	0.000000	0.685650	0.000000	0.284307	0.335197	0.000928	0.379568	0.269203	
186000	-464.666165	1	2	2	'1 0 1 1 0 Z 1 Z 	D	0.794924	0.010453	0.794924	0.794924	0.010453	0.000000	0.794924	0.000000	0.320349	0.334233	0.000124	0.345294	0.202855	
187000	-464.130659	1	2	2	'1 0 1 1 Z 0 1 Z 	D	0.531872	0.023607	0.531872	0.531872	0.000000	0.023607	0.531872	0.000000	0.261056	0.333698	0.000928	0.404318	0.411959	
188000	-463.543324	1	2	1	'1 0 1 1 1 0 1 Z 	D	0.807838	0.050351	0.807838	0.807838	0.807838	0.050351	0.807838	0.000000	0.251064	0.257141	0.229186	0.262609	0.367770	
189000	-462.000065	1	2	1	'1 0 1 1 Z 1 1 0 	D	0.685071	0.018832	0.685071	0.685071	0.000000	0.685071	0.685071	0.018832	0.252627	0.257044	0.229692	0.260637	0.926627	
190000	-463.976140	1	2	1	'1 0 1 1 1 Z 1 0 	D	0.542298	0.026311	0.542298	0.542298	0.542298	0.000000	0.542298	0.026311	0.257045	0.287647	0.143779	0.311530	0.970031	
191000	-462.261182	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.581450	0.023658	0.581450	0.581450	0.581450	0.581450	0.581450	0.000000	0.244714	0.249788	0.250926	0.254572	0.459187	
192000	-465.455106	1	2	1	'1 0 1 1 1 0 1 Z 	D	0.494995	0.055117	0.494995	0.494995	0.494995	0.055117	0.494995	0.000000	0.222534	0.290627	0.126715	0.360124	0.826264	
193000	-461.545735	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.691498	0.054693	0.691498	0.691498	0.691498	0.691498	0.691498	0.000000	0.248385	0.249997	0.250003	0.251614	0.317987	
194000	-463.103283	1	2	1	'1 0 1 1 1 0 1 Z 	D	0.785798	0.026470	0.785798	0.785798	0.785798	0.026470	0.785798	0.000000	0.253102	0.257536	0.227789	0.261572	0.583335	
195000	-463.670869	1	2	1	'1 Z 1 1 1 1 1 0 	D	0.664992	0.000000	0.664992	0.664992	0.664992	0.664992	0.664992	0.014337	0.238217	0.249724	0.250714	0.261345	0.197873	
196000	-461.293674	1	2	1	'1 0 1 1 1 1 1 Z 	D	0.610332	0.048176	0.610332	0.610332	0.610332	0.610332	0.610332	0.000000	0.246237	0.250039	0.249969	0.253756	0.468917	
197000	-463.130120	1	2	2	'1 0 1 1 1 Z 1 Z 	D	0.667332	0.013457	0.667332	0.667332	0.667332	0.000000	0.667332	0.000000	0.259011	0.267519	0.198039	0.275431	0.994722	
