Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1269315673
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model_dep.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
1029000	-470.845838	1	3277	0.452632	0.000000	0.452632	0.452632	0.452632	0.452632	0.452632	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.963937	0.334093	0.322682	0.262934	0.955404	0.112289	0.219196	0.366708	
1030000	-470.204016	1	3831	0.516053	0.000000	0.516053	0.516053	0.516053	0.516053	0.516053	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.040869	0.410623	0.501316	0.921472	0.892647	0.879625	0.797337	0.470947	
1031000	-471.675856	1	1521	0.428613	0.000000	0.428613	0.428613	0.428613	0.428613	0.428613	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.368717	0.611074	0.819536	0.408979	0.766244	0.312903	0.239941	0.640692	
1032000	-470.192890	1	321	0.496898	0.000000	0.496898	0.496898	0.496898	0.496898	0.496898	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.101916	0.539013	0.631179	0.182301	0.324613	0.822046	0.059324	0.338723	
1033000	-470.392252	1	2784	0.474657	0.000000	0.474657	0.474657	0.474657	0.474657	0.474657	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.112120	0.924404	0.931273	0.298829	0.057223	0.839158	0.672793	0.856773	
1034000	-470.178205	1	1136	0.504954	0.000000	0.504954	0.504954	0.504954	0.504954	0.504954	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.934215	0.582233	0.336497	0.134112	0.848480	0.029140	0.812482	0.915185	
1035000	-470.205315	1	2819	0.516330	0.000000	0.516330	0.516330	0.516330	0.516330	0.516330	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.973329	0.322825	0.342621	0.063692	0.176786	0.641760	0.288824	0.603537	
1036000	-470.404713	1	2880	0.538379	0.000000	0.538379	0.538379	0.538379	0.538379	0.538379	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.449124	0.414563	0.424193	0.177340	0.280844	0.868800	0.663530	0.588674	
1037000	-470.197632	1	3648	0.495686	0.000000	0.495686	0.495686	0.495686	0.495686	0.495686	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.162068	0.134681	0.765341	0.212775	0.925130	0.533669	0.901198	0.710895	
1038000	-470.228740	1	523	0.520517	0.000000	0.520517	0.520517	0.520517	0.520517	0.520517	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.076724	0.878092	0.375908	0.207001	0.465728	0.196166	0.683666	0.098180	
1039000	-470.269434	1	1722	0.525945	0.000000	0.525945	0.525945	0.525945	0.525945	0.525945	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.007367	0.154014	0.479716	0.051548	0.947777	0.443278	0.586468	0.517581	
1040000	-470.205688	1	1607	0.493934	0.000000	0.493934	0.493934	0.493934	0.493934	0.493934	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.243614	0.246731	0.683432	0.471737	0.979488	0.148969	0.130049	0.651879	
1041000	-470.256319	1	3060	0.524354	0.000000	0.524354	0.524354	0.524354	0.524354	0.524354	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.687168	0.329775	0.047513	0.767276	0.156701	0.830459	0.537957	0.222836	
1042000	-470.233333	1	1276	0.489383	0.000000	0.489383	0.489383	0.489383	0.489383	0.489383	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.809188	0.745745	0.311805	0.072687	0.666345	0.514185	0.544446	0.233003	
1043000	-470.625977	1	3449	0.552553	0.000000	0.552553	0.552553	0.552553	0.552553	0.552553	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.997912	0.592945	0.446762	0.236355	0.433804	0.790615	0.124529	0.345414	
1044000	-467.233699	1	3103	0.578396	0.000000	0.578396	0.578396	0.397331	0.397331	0.578396	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.110118	0.011344	0.558292	0.521116	0.672609	0.868458	0.075209	0.265361	
1045000	-470.632245	1	1075	0.461409	0.000000	0.461409	0.461409	0.461409	0.461409	0.461409	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.417240	0.034967	0.389910	0.068900	0.653314	0.793883	0.233221	0.632395	
1046000	-470.192051	1	2827	0.497132	0.000000	0.497132	0.497132	0.497132	0.497132	0.497132	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.038322	0.509522	0.260725	0.742023	0.021384	0.222239	0.135177	0.264508	
