Iteration	Lh	Tree No	Model No	alpha1	beta1	alpha2	beta2	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	alpha1 - Mean	beta1 - Mean	alpha2 - Mean	beta2 - Mean	
1062000	-511.382148	1	2062	0.261068	0.505433	0.505433	0.261068	0	0.247245	0.248565	0.251424	0.252767	0.127901	0.374280	0.254264	0.489798	
1063000	-511.380861	1	2096	0.255172	0.467683	0.467683	0.255172	0	0.246047	0.252305	0.247675	0.253974	0.629525	0.227498	0.892173	0.815351	
1064000	-511.539694	1	3738	0.256376	0.455235	0.455235	0.256376	0	0.245698	0.255038	0.244976	0.254288	0.209644	0.668803	0.580987	0.453468	
1065000	-511.344984	1	1526	0.261545	0.480138	0.480138	0.261545	0	0.246656	0.251728	0.248256	0.253360	0.455731	0.742033	0.479157	0.563131	
1066000	-511.556128	1	3973	0.263677	0.463085	0.463085	0.263677	0	0.246255	0.255055	0.244968	0.253722	0.111629	0.195779	0.519471	0.916667	
1067000	-511.386784	1	3065	0.263209	0.476620	0.476620	0.263209	0	0.246623	0.252605	0.247385	0.253387	0.637761	0.334118	0.758838	0.271426	
1068000	-512.070462	1	3304	0.231238	0.489340	0.489340	0.231238	0	0.245469	0.241633	0.258469	0.254429	0.847658	0.986202	0.106245	0.685668	
1069000	-511.363885	1	685	0.268268	0.493443	0.493443	0.268268	0	0.247203	0.251233	0.248754	0.252810	0.867408	0.810841	0.656259	0.498684	
1070000	-512.398158	1	2880	0.309055	0.564524	0.564524	0.309055	0	0.248989	0.250378	0.249620	0.251013	0.176449	0.844176	0.736945	0.507542	
1071000	-511.378408	1	2364	0.270299	0.499292	0.499292	0.270299	0	0.247389	0.250902	0.249086	0.252623	0.843360	0.348653	0.691499	0.238188	
1072000	-512.343550	1	2213	0.272662	0.443932	0.443932	0.272662	0	0.245979	0.260925	0.239279	0.253818	0.088895	0.060326	0.920950	0.638051	
1073000	-513.070484	1	3760	0.259239	0.496099	0.496099	0.259239	1	0.246971	0.249166	0.250817	0.253046	0.857895	0.124968	0.270885	0.756774	
1074000	-511.392249	1	1149	0.247691	0.479921	0.479921	0.247691	0	0.246077	0.248365	0.251609	0.253949	0.781712	0.320451	0.843211	0.328281	
1075000	-511.460526	1	1821	0.275295	0.497998	0.497998	0.275295	0	0.247498	0.251837	0.248157	0.252507	0.344350	0.694512	0.139221	0.749938	
1076000	-511.413970	1	1705	0.250360	0.491926	0.491926	0.250360	0	0.246531	0.247538	0.252450	0.253481	0.980234	0.494463	0.980422	0.280242	
1077000	-511.585252	1	1471	0.269570	0.529829	0.529829	0.269570	0	0.247941	0.248133	0.251865	0.252061	0.184416	0.871223	0.422170	0.655879	
1078000	-511.618399	1	409	0.235393	0.460042	0.460042	0.235393	0	0.244719	0.247563	0.252392	0.255326	0.350358	0.148497	0.177724	0.992957	
1079000	-511.367958	1	233	0.253842	0.493096	0.493096	0.253842	0	0.246701	0.248279	0.251705	0.253315	0.840559	0.558085	0.456886	0.209866	
1080000	-511.578011	1	3506	0.238086	0.472457	0.472457	0.238086	0	0.245333	0.246417	0.253565	0.254685	0.160820	0.731108	0.645581	0.727446	
1081000	-511.639604	1	303	0.239164	0.443639	0.443639	0.239164	0	0.244316	0.252593	0.247355	0.255735	0.457198	0.410080	0.052815	0.510144	
1082000	-513.155448	1	1496	0.248766	0.482858	0.482858	0.248766	1	0.246211	0.248258	0.251719	0.253812	0.198532	0.851046	0.420785	0.761520	
1083000	-511.539717	1	912	0.265065	0.523401	0.523401	0.265065	0	0.247717	0.247816	0.252183	0.252284	0.105030	0.033383	0.963833	0.419977	
1084000	-513.109024	1	3200	0.254581	0.494802	0.494802	0.254581	1	0.246771	0.248261	0.251724	0.253244	0.438675	0.981151	0.671398	0.459133	
1085000	-511.467185	1	1777	0.245498	0.485636	0.485636	0.245498	0	0.246140	0.246957	0.253032	0.253871	0.453836	0.614687	0.672454	0.798592	
1086000	-511.975583	1	3183	0.224980	0.450629	0.450629	0.224980	0	0.243536	0.244912	0.255056	0.256497	0.657950	0.735448	0.662123	0.752270	
1087000	-511.903154	1	2922	0.267848	0.452070	0.452070	0.267848	0	0.246070	0.258158	0.241944	0.253829	0.610614	0.464387	0.195366	0.100884	
1088000	-511.319700	1	2580	0.257324	0.487936	0.487936	0.257324	0	0.246703	0.249729	0.250249	0.253319	0.470852	0.151242	0.403975	0.763104	
1089000	-511.404844	1	466	0.251192	0.463001	0.463001	0.251192	0	0.245716	0.252139	0.247834	0.254311	0.223160	0.196137	0.844187	0.941846	
1090000	-511.840192	1	3508	0.230570	0.470402	0.470402	0.230570	0	0.244773	0.243829	0.256193	0.255205	0.495568	0.142419	0.836304	0.926983	
1091000	-513.343971	1	1506	0.263176	0.463678	0.463678	0.263176	1	0.246252	0.254842	0.245177	0.253729	0.119113	0.088467	0.106499	0.034875	
1092000	-512.111110	1	1073	0.225120	0.425879	0.425879	0.225120	0	0.242361	0.251570	0.248317	0.257753	0.640247	0.168593	0.425173	0.343224	
1093000	-511.809356	1	2496	0.267133	0.540994	0.540994	0.267133	0	0.248064	0.247090	0.252919	0.251927	0.903068	0.380927	0.321095	0.777755	
1094000	-511.343558	1	3637	0.266409	0.496742	0.496742	0.266409	0	0.247220	0.250511	0.249474	0.252795	0.254558	0.153206	0.809064	0.097376	
1095000	-511.508175	1	1738	0.243330	0.483922	0.483922	0.243330	0	0.245984	0.246523	0.253469	0.254024	0.245150	0.342958	0.376442	0.781712	
1096000	-512.109998	1	157	0.297969	0.510524	0.510524	0.297969	0	0.248208	0.253127	0.246886	0.251778	0.453530	0.466199	0.805135	0.667839	
1097000	-512.059982	1	1719	0.270111	0.449474	0.449474	0.270111	0	0.246070	0.259155	0.240980	0.253794	0.489481	0.026598	0.136699	0.361395	
1098000	-511.734177	1	2594	0.267830	0.537728	0.537728	0.267830	0	0.248028	0.247378	0.252628	0.251966	0.454486	0.383406	0.252109	0.979062	
1099000	-513.974128	1	17	0.298725	0.636407	0.636407	0.298725	0	0.249391	0.248105	0.251901	0.250602	0.954348	0.265129	0.497922	0.679561	
1100000	-512.149749	1	1498	0.221335	0.450900	0.450900	0.221335	0	0.243212	0.242983	0.257023	0.256781	0.924343	0.951030	0.592835	0.167449	
