Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_save.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_save.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1390687965
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      tutorial_bayestraits_output_model_dep.bin
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
1034000	-466.204305	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.457590	0.000000	0.457590	0.457590	0.457590	0.457590	0.457590	0.000000	0.000001	0.000001	0.999997	0.000001	0.330173	
1035000	-465.972243	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.519334	0.000000	0.519334	0.519334	0.519334	0.519334	0.519334	0.000000	0.000001	0.000001	0.999997	0.000001	0.277496	
1036000	-469.030251	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.630147	0.000000	0.630147	0.630147	0.630147	0.630147	0.630147	0.000000	0.000002	0.000002	0.999995	0.000002	0.265879	
1037000	-469.127127	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.388717	0.000000	0.388717	0.388717	0.388717	0.388717	0.388717	0.000000	0.000001	0.000001	0.999998	0.000001	0.781338	
1038000	-465.850971	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.496808	0.000000	0.496808	0.496808	0.496808	0.496808	0.496808	0.000000	0.000001	0.000001	0.999997	0.000001	0.742485	
1039000	-466.042277	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.467321	0.000000	0.467321	0.467321	0.467321	0.467321	0.467321	0.000000	0.000001	0.000001	0.999997	0.000001	0.899222	
1040000	-466.292887	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.453296	0.000000	0.453296	0.453296	0.453296	0.453296	0.453296	0.000000	0.000001	0.000001	0.999997	0.000001	0.275782	
1041000	-466.027829	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.524397	0.000000	0.524397	0.524397	0.524397	0.524397	0.524397	0.000000	0.000001	0.000001	0.999997	0.000001	0.328404	
1042000	-466.944073	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.430737	0.000000	0.430737	0.430737	0.430737	0.430737	0.430737	0.000000	0.000001	0.000001	0.999997	0.000001	0.133208	
1043000	-465.932864	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.515030	0.000000	0.515030	0.515030	0.515030	0.515030	0.515030	0.000000	0.000001	0.000001	0.999997	0.000001	0.335273	
1044000	-466.491548	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.445131	0.000000	0.445131	0.445131	0.445131	0.445131	0.445131	0.000000	0.000001	0.000001	0.999997	0.000001	0.654793	
1045000	-466.508218	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.552630	0.000000	0.552630	0.552630	0.552630	0.552630	0.552630	0.000000	0.000001	0.000001	0.999996	0.000001	0.634465	
1046000	-465.860382	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.502193	0.000000	0.502193	0.502193	0.502193	0.502193	0.502193	0.000000	0.000001	0.000001	0.999997	0.000001	0.942709	
1047000	-466.555071	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.442825	0.000000	0.442825	0.442825	0.442825	0.442825	0.442825	0.000000	0.000001	0.000001	0.999997	0.000001	0.130444	
1048000	-466.608293	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.440980	0.000000	0.440980	0.440980	0.440980	0.440980	0.440980	0.000000	0.000001	0.000001	0.999997	0.000001	0.983812	
1049000	-465.861474	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.502556	0.000000	0.502556	0.502556	0.502556	0.502556	0.502556	0.000000	0.000001	0.000001	0.999997	0.000001	0.186239	
1050000	-465.940678	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.476030	0.000000	0.476030	0.476030	0.476030	0.476030	0.476030	0.000000	0.000001	0.000001	0.999997	0.000001	0.679271	
