Default schedule
Rate	44.44
Est Data	55.56
Rate Tried	% Accepted	Est Data Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
448	0.337054	552	0.708333	9.035380	0	0.000000	0.542000	0.533109	
454	0.389868	546	0.694139	9.035380	0	0.000000	0.556000	0.533137	
459	0.030501	541	0.706100	9.035380	0	0.000000	0.396000	0.532969	
436	0.000000	564	0.636525	9.035380	0	0.000000	0.359000	0.532755	
458	0.432314	542	0.690037	9.035380	0	0.000000	0.572000	0.532804	
478	0.397490	522	0.714559	9.035380	0	0.000000	0.563000	0.532840	
420	0.485714	580	0.691379	9.035380	0	0.000000	0.605000	0.532929	
381	0.257218	619	0.647819	9.035380	0	0.000000	0.499000	0.532887	
414	0.094203	586	0.680887	9.035380	0	0.000000	0.438000	0.532772	
518	0.401544	482	0.668050	9.035380	0	0.000000	0.530000	0.532768	
457	0.214442	543	0.686924	9.035380	0	0.000000	0.471000	0.532693	
432	0.208333	568	0.619718	9.035380	0	0.000000	0.442000	0.532583	
422	0.075829	578	0.660900	9.035380	0	0.000000	0.414000	0.532439	
430	0.234884	570	0.726316	9.035380	0	0.000000	0.515000	0.532418	
424	0.332547	576	0.697917	9.035380	0	0.000000	0.543000	0.532431	
436	0.394495	564	0.689716	9.035380	0	0.000000	0.561000	0.532466	
460	0.436957	540	0.688889	9.035380	0	0.000000	0.573000	0.532514	
459	0.503268	541	0.715342	9.035380	0	0.000000	0.618000	0.532617	
446	0.307175	554	0.642599	9.035380	0	0.000000	0.493000	0.532570	
445	0.114607	555	0.704505	9.035380	0	0.000000	0.442000	0.532461	
457	0.411379	543	0.707182	9.035380	0	0.000000	0.572000	0.532508	
437	0.276888	563	0.712256	9.035380	0	0.000000	0.522000	0.532496	
386	0.274611	614	0.672638	9.035380	0	0.000000	0.519000	0.532480	
429	0.069930	571	0.695271	9.035380	0	0.000000	0.427000	0.532353	
453	0.041943	547	0.723949	9.035380	0	0.000000	0.415000	0.532213	
436	0.334862	564	0.728723	9.035380	0	0.000000	0.557000	0.532243	
453	0.412804	547	0.692870	9.035380	0	0.000000	0.566000	0.532283	
460	0.480435	540	0.698148	9.035380	0	0.000000	0.598000	0.532361	
410	0.426829	590	0.684746	9.035380	0	0.000000	0.579000	0.532417	
428	0.133178	572	0.650350	9.035380	0	0.000000	0.429000	0.532294	
445	0.253933	555	0.668468	9.035380	0	0.000000	0.484000	0.532237	
439	0.414579	561	0.725490	9.035380	0	0.000000	0.589000	0.532304	
451	0.232816	549	0.735883	9.035380	0	0.000000	0.509000	0.532276	
416	0.420673	584	0.760274	9.035380	0	0.000000	0.619000	0.532379	
465	0.391398	535	0.700935	9.035380	0	0.000000	0.557000	0.532408	
447	0.409396	553	0.698011	9.035380	0	0.000000	0.569000	0.532451	
442	0.447964	558	0.693548	9.035380	0	0.000000	0.585000	0.532513	
485	0.455670	515	0.695146	9.035380	0	0.000000	0.579000	0.532568	
455	0.307692	545	0.695413	9.035380	0	0.000000	0.519000	0.532552	
463	0.419006	537	0.694600	9.035380	0	0.000000	0.567000	0.532592	
445	0.408989	555	0.688288	9.035380	0	0.000000	0.564000	0.532629	
449	0.418708	551	0.720508	9.035380	0	0.000000	0.585000	0.532690	
441	0.340136	559	0.719141	9.035380	0	0.000000	0.552000	0.532713	
467	0.389722	533	0.669794	9.035380	0	0.000000	0.539000	0.532720	
459	0.411765	541	0.704251	9.035380	0	0.000000	0.570000	0.532764	
466	0.233906	534	0.709738	9.035380	0	0.000000	0.488000	0.532712	
421	0.218527	579	0.654577	9.035380	0	0.000000	0.471000	0.532640	
431	0.127610	569	0.708260	9.035380	0	0.000000	0.458000	0.532553	
445	0.170787	555	0.686486	9.035380	0	0.000000	0.457000	0.532465	
440	0.463636	560	0.721429	9.035380	0	0.000000	0.608000	0.532553	
453	0.381898	547	0.659963	9.035380	0	0.000000	0.534000	0.532554	
458	0.388646	542	0.702952	9.035380	0	0.000000	0.559000	0.532585	
437	0.217391	563	0.682060	9.035380	0	0.000000	0.479000	0.532523	
442	0.459276	558	0.718638	9.035380	0	0.000000	0.604000	0.532606	
429	0.428904	571	0.702277	9.035380	0	0.000000	0.585000	0.532666	
431	0.394432	569	0.685413	9.035380	0	0.000000	0.560000	0.532698	
440	0.236364	560	0.691071	9.035380	0	0.000000	0.491000	0.532650	
443	0.422122	557	0.700180	9.035380	0	0.000000	0.577000	0.532701	
