Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ_KNOWN.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2077959526
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   birds_nest_coparent_depRJ_KNOWN.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      birds_nest_coparent_depRJ_KNOWN.bin
Scale Tree:                      0.010244
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,2.00) 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
535000	-305.849521	1	2	0	'1 1 1 1 0 0 1 1 	D	0.510788	0.510788	0.510788	0.510788	2.074154	2.074154	0.510788	0.510788	0.250048	0.228383	0.410398	0.111172	1.448547	
536000	-306.634979	1	2	0	'1 1 1 1 0 0 1 1 	D	0.511117	0.511117	0.511117	0.511117	1.665126	1.665126	0.511117	0.511117	0.274192	0.264057	0.350912	0.110839	1.367392	
537000	-308.080885	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.824646	0.824646	0.824646	0.824646	2.413487	2.413487	0.000000	0.824646	0.399982	0.563689	0.035955	0.000374	0.975471	
538000	-305.610578	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.537393	0.537393	0.537393	0.537393	1.988397	1.988397	0.000000	0.537393	0.454314	0.505447	0.040041	0.000198	1.496139	
539000	-306.339429	1	2	0	'1 1 1 1 0 0 1 1 	D	0.575162	0.575162	0.575162	0.575162	1.952733	1.952733	0.575162	0.575162	0.258753	0.262377	0.356340	0.122530	1.330016	
540000	-305.570459	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.585480	0.585480	0.585480	0.585480	1.949659	1.949659	0.000000	0.585480	0.443937	0.520756	0.035113	0.000194	1.717696	
541000	-311.155870	1	2	2	'1 Z 1 1 0 0 Z 1 	D	0.776697	0.000000	0.776697	0.776697	2.153853	2.153853	0.000000	0.776697	0.199188	0.723808	0.075568	0.001437	0.880413	
542000	-311.854350	1	2	0	'1 0 0 0 1 1 0 1 	D	1.025330	0.289758	0.289758	0.289758	1.025330	1.025330	0.289758	1.025330	0.444648	0.148188	0.219453	0.187712	1.565113	
543000	-306.678257	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.450531	0.450531	0.450531	0.450531	2.202532	2.202532	0.000000	0.450531	0.472494	0.467591	0.059676	0.000238	1.351282	
544000	-306.676232	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.747923	0.747923	0.747923	0.747923	2.299801	2.299801	0.000000	0.747923	0.412092	0.552109	0.035492	0.000307	0.893227	
545000	-307.360564	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.435102	0.435102	0.435102	0.435102	2.376841	2.376841	0.000000	0.435102	0.474269	0.457771	0.067695	0.000264	1.448910	
546000	-305.472063	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.633165	0.633165	0.633165	0.633165	2.166968	2.166968	0.000000	0.633165	0.433207	0.529468	0.037083	0.000242	1.891067	
547000	-305.731653	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.510108	0.510108	0.510108	0.510108	2.180806	2.180806	0.000000	0.510108	0.459263	0.492555	0.047954	0.000229	1.867274	
548000	-307.156119	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.671332	0.671332	0.671332	0.671332	1.690986	1.690986	0.000000	0.671332	0.427286	0.547498	0.025059	0.000157	0.677737	
549000	-306.357362	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.592824	0.592824	0.592824	0.592824	1.742141	1.742141	0.000000	0.592824	0.443108	0.527323	0.029413	0.000157	0.824130	
550000	-307.255875	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.782121	0.782121	0.782121	0.782121	2.084367	2.084367	0.000000	0.782121	0.407385	0.561408	0.030932	0.000275	1.824508	
551000	-305.762375	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.521744	0.521744	0.521744	0.521744	1.963184	1.963184	0.000000	0.521744	0.458019	0.500708	0.041079	0.000193	1.748259	
552000	-306.048939	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.511365	0.511365	0.511365	0.511365	2.389892	2.389892	0.000000	0.511365	0.457554	0.490137	0.052050	0.000259	0.964191	
553000	-305.460521	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.554722	0.554722	0.554722	0.554722	2.039094	2.039094	0.000000	0.554722	0.450175	0.509982	0.039635	0.000207	1.284212	
554000	-306.786430	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.529977	0.529977	0.529977	0.529977	1.684811	1.684811	0.000000	0.529977	0.457475	0.510282	0.032099	0.000143	1.195034	
555000	-305.819621	1	2	0	'0 0 0 0 1 1 0 0 	D	0.487352	0.487352	0.487352	0.487352	1.959699	1.959699	0.487352	0.487352	0.254108	0.226354	0.412506	0.107032	1.365589	
556000	-305.974176	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.645816	0.645816	0.645816	0.645816	1.892779	1.892779	0.000000	0.645816	0.431782	0.537381	0.030645	0.000193	1.805563	
557000	-305.446916	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.556630	0.556630	0.556630	0.556630	2.045696	2.045696	0.000000	0.556630	0.449720	0.510449	0.039622	0.000209	1.928678	
558000	-305.832200	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.502201	0.502201	0.502201	0.502201	2.048412	2.048412	0.000000	0.502201	0.461967	0.491966	0.045859	0.000208	0.871887	
559000	-309.385915	1	2	0	'1 1 1 1 0 0 1 1 	D	0.510127	0.510127	0.510127	0.510127	2.934195	2.934195	0.510127	0.510127	0.218972	0.188188	0.483568	0.109273	0.777270	
560000	-309.229705	1	2	0	'1 1 1 1 1 0 1 1 	D	0.627483	0.627483	0.627483	0.627483	0.627483	3.066094	0.627483	0.627483	0.545080	0.282361	0.135098	0.037461	0.937501	
