Options:
Model:                           Discrete: Dependent
Tree File Name:                  BirdTreeCleaned.tre
Data File Name:                  DataCleaned.txt
Log File Name:                   birds_nest_coparent_depRJ.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2140403048
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      3500000
Burn in:                         500000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Schedule File:                   birds_nest_coparent_depRJ.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      birds_nest_coparent_depRJ.bin
Scale Tree:                      0.010244
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,2.00) 
Tree Information
     Trees:                      1
     Taxa:                       399
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
539000	-312.909064	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.974048	0.974048	0.974048	0.974048	0.974048	2.702526	0.000000	0.974048	0.419344	0.571953	0.008586	0.000117	1.546593	
540000	-309.849399	1	2	0	'0 0 0 0 0 1 0 0 	D	0.636245	0.636245	0.636245	0.636245	0.636245	2.369790	0.636245	0.636245	0.474540	0.336224	0.138202	0.051034	1.388227	
541000	-309.962107	1	2	0	'0 0 0 0 0 1 0 0 	D	0.721620	0.721620	0.721620	0.721620	0.721620	2.816718	0.721620	0.721620	0.461657	0.340276	0.140461	0.057605	1.856074	
542000	-310.710023	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.772935	0.772935	0.772935	0.772935	0.772935	3.507441	0.000000	0.772935	0.532338	0.459610	0.007981	0.000071	0.880509	
543000	-310.975568	1	2	1	'0 0 0 0 0 1 Z 0 	D	0.831341	0.831341	0.831341	0.831341	0.831341	2.553388	0.000000	0.831341	0.452765	0.538886	0.008265	0.000084	1.641894	
544000	-323.584349	1	1	1	'0 Z 0 0 0 0 0 0 	D	0.973419	0.000000	0.973419	0.973419	0.973419	0.973419	0.973419	0.973419	0.140620	0.359518	0.176189	0.323673	1.885233	
545000	-322.131060	1	1	0	'0 0 0 0 0 0 0 0 	I	0.736488	0.736488	0.736488	0.736488	0.736488	0.736488	0.736488	0.736488	0.332707	0.489353	0.072017	0.105924	1.140867	
546000	-306.188588	1	2	0	'1 1 1 1 0 0 1 1 	D	0.449698	0.449698	0.449698	0.449698	2.226514	2.226514	0.449698	0.449698	0.235773	0.191210	0.473512	0.099505	1.033452	
547000	-306.244380	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.481800	0.481800	0.481800	0.481800	1.943156	1.943156	0.000000	0.481800	0.467454	0.486265	0.046088	0.000192	0.816678	
548000	-305.996673	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.662617	0.662617	0.662617	0.662617	2.441113	2.441113	0.000000	0.662617	0.426322	0.532742	0.040638	0.000299	1.107689	
549000	-306.768920	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.724494	0.724494	0.724494	0.724494	1.907121	1.907121	0.000000	0.724494	0.417266	0.553965	0.028554	0.000215	1.539569	
550000	-307.854723	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.719849	0.719849	0.719849	0.719849	1.675402	1.675402	0.000000	0.719849	0.418427	0.557833	0.023577	0.000164	1.386700	
551000	-306.256138	1	2	0	'1 1 1 1 0 0 1 1 	D	0.454453	0.454453	0.454453	0.454453	1.767856	1.767856	0.454453	0.454453	0.262377	0.226356	0.409884	0.101382	0.833653	
552000	-305.438018	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.577012	0.577012	0.577012	0.577012	2.277945	2.277945	0.000000	0.577012	0.444071	0.512817	0.042863	0.000249	1.339025	
553000	-305.845306	1	2	0	'1 1 1 1 0 0 1 1 	D	0.477575	0.477575	0.477575	0.477575	1.938154	1.938154	0.477575	0.477575	0.254356	0.223438	0.416908	0.105298	1.426289	
554000	-306.339803	1	2	0	'1 1 1 1 0 0 1 1 	D	0.554444	0.554444	0.554444	0.554444	1.828498	1.828498	0.554444	0.554444	0.265199	0.265582	0.350618	0.118600	0.733977	
555000	-307.919311	1	2	0	'1 1 1 1 0 0 1 1 	D	0.678141	0.678141	0.678141	0.678141	2.055282	2.055282	0.678141	0.678141	0.252142	0.285062	0.321686	0.141109	1.529822	
556000	-306.146386	1	2	0	'1 1 1 1 0 0 1 1 	D	0.554016	0.554016	0.554016	0.554016	2.135536	2.135536	0.554016	0.554016	0.249499	0.241227	0.390276	0.118998	1.637004	
557000	-306.000174	1	2	0	'1 1 1 1 0 0 1 1 	D	0.463088	0.463088	0.463088	0.463088	2.172465	2.172465	0.463088	0.463088	0.240282	0.200712	0.456811	0.102196	1.783293	
558000	-307.149128	1	2	0	'1 1 1 1 0 0 1 1 	D	0.484814	0.484814	0.484814	0.484814	2.546533	2.546533	0.484814	0.484814	0.227702	0.192050	0.474813	0.105435	1.073286	
559000	-306.699010	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.457175	0.457175	0.457175	0.457175	2.307543	2.307543	0.000000	0.457175	0.470141	0.469188	0.060421	0.000251	1.244456	
560000	-305.864137	1	2	0	'1 1 1 1 0 0 1 1 	D	0.493362	0.493362	0.493362	0.493362	2.124152	2.124152	0.493362	0.493362	0.246112	0.217549	0.428405	0.107934	1.577371	
561000	-305.845011	1	2	0	'1 1 1 1 0 0 1 1 	D	0.474893	0.474893	0.474893	0.474893	1.944763	1.944763	0.474893	0.474893	0.253691	0.221649	0.419853	0.104807	1.084007	
562000	-305.968696	1	2	0	'1 1 1 1 0 0 1 1 	D	0.529079	0.529079	0.529079	0.529079	1.928183	1.928183	0.529079	0.529079	0.258772	0.246927	0.379880	0.114421	1.055161	
563000	-305.612506	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.521048	0.521048	0.521048	0.521048	2.127530	2.127530	0.000000	0.521048	0.457155	0.497336	0.045289	0.000221	1.130960	
564000	-306.028639	1	2	0	'1 1 1 1 0 0 1 1 	D	0.446970	0.446970	0.446970	0.446970	1.891379	1.891379	0.446970	0.446970	0.253361	0.211823	0.434983	0.099832	0.701366	
565000	-305.566163	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.649002	0.649002	0.649002	0.649002	2.157326	2.157326	0.000000	0.649002	0.430176	0.533443	0.036138	0.000244	1.816782	
566000	-309.043701	1	2	0	'1 1 1 1 0 0 1 1 	D	0.727642	0.727642	0.727642	0.727642	1.979450	1.979450	0.727642	0.727642	0.252895	0.302952	0.294814	0.149340	1.392399	
567000	-305.996481	1	2	0	'1 1 1 1 0 0 1 1 	D	0.490495	0.490495	0.490495	0.490495	1.835304	1.835304	0.490495	0.490495	0.261699	0.238025	0.392638	0.107638	1.922343	
568000	-306.084593	1	2	0	'1 1 1 1 0 0 1 1 	D	0.436753	0.436753	0.436753	0.436753	1.911957	1.911957	0.436753	0.436753	0.250551	0.204797	0.446753	0.097899	1.425167	
569000	-306.146912	1	2	0	'1 1 1 1 0 0 1 1 	D	0.444919	0.444919	0.444919	0.444919	2.188628	2.188628	0.444919	0.444919	0.236811	0.190930	0.473570	0.098689	1.560728	
570000	-306.639737	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.534263	0.534263	0.534263	0.534263	2.627448	2.627448	0.000000	0.534263	0.451057	0.495668	0.052983	0.000291	0.829880	
571000	-305.979939	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.657655	0.657655	0.657655	0.657655	2.447912	2.447912	0.000000	0.657655	0.427211	0.531521	0.040969	0.000298	1.406071	
572000	-305.418174	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.555985	0.555985	0.555985	0.555985	2.082746	2.082746	0.000000	0.555985	0.449660	0.509582	0.040543	0.000215	1.863896	
573000	-308.637970	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.388647	0.388647	0.388647	0.388647	1.869393	1.869393	0.000000	0.388647	0.489227	0.440609	0.069959	0.000205	1.667144	
574000	-306.819615	1	2	0	'1 1 1 1 0 0 1 1 	D	0.598107	0.598107	0.598107	0.598107	1.839864	1.839864	0.598107	0.598107	0.264653	0.280062	0.329208	0.126077	1.318775	
575000	-306.111646	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.528498	0.528498	0.528498	0.528498	2.471532	2.471532	0.000000	0.528498	0.453275	0.495228	0.051226	0.000271	0.620049	
576000	-306.016658	1	2	0	'1 1 1 1 0 0 1 1 	D	0.501024	0.501024	0.501024	0.501024	1.832932	1.832932	0.501024	0.501024	0.262647	0.243046	0.384845	0.109462	0.396878	
577000	-305.909242	1	2	0	'1 1 1 1 0 0 1 1 	D	0.467018	0.467018	0.467018	0.467018	1.903602	1.903602	0.467018	0.467018	0.255216	0.221046	0.420294	0.103444	0.644244	
578000	-308.163401	1	2	0	'1 1 1 1 0 0 1 1 	D	0.491848	0.491848	0.491848	0.491848	1.433211	1.433211	0.491848	0.491848	0.291400	0.283625	0.318364	0.106612	1.256703	
579000	-305.991371	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.572642	0.572642	0.572642	0.572642	1.816715	1.816715	0.000000	0.572642	0.447259	0.519963	0.032609	0.000169	0.619863	
580000	-306.238324	1	2	0	'1 1 1 1 0 0 1 1 	D	0.448296	0.448296	0.448296	0.448296	1.786198	1.786198	0.448296	0.448296	0.260336	0.221431	0.417962	0.100271	1.916871	
581000	-306.232135	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.704240	0.704240	0.704240	0.704240	2.376488	2.376488	0.000000	0.704240	0.419137	0.542560	0.037999	0.000303	1.263570	
582000	-309.431861	1	2	0	'1 1 1 1 0 0 1 1 	D	0.592413	0.592413	0.592413	0.592413	1.389893	1.389893	0.592413	0.592413	0.294184	0.330829	0.254308	0.120678	0.631201	
583000	-305.981078	1	2	0	'1 1 1 1 0 0 1 1 	D	0.520135	0.520135	0.520135	0.520135	1.885182	1.885182	0.520135	0.520135	0.260731	0.246811	0.379641	0.112817	1.060063	
584000	-306.053478	1	2	0	'1 1 1 1 0 0 1 1 	D	0.455448	0.455448	0.455448	0.455448	1.845850	1.845850	0.455448	0.455448	0.257366	0.219960	0.421221	0.101453	0.583868	
585000	-305.856279	1	3	1	'1 1 1 1 0 2 Z 1 	D	0.570666	0.570666	0.570666	0.570666	1.100091	2.313763	0.000000	0.570666	0.501091	0.471576	0.027182	0.000151	1.110674	
586000	-305.750403	1	3	0	'2 2 0 2 0 1 2 0 	D	0.351265	0.351265	0.685951	0.351265	0.685951	3.361013	0.351265	0.685951	0.355374	0.359383	0.233482	0.051762	0.927172	
587000	-317.085910	1	2	0	'0 0 0 0 0 1 0 1 	D	0.408264	0.408264	0.408264	0.408264	0.408264	2.522414	0.408264	2.522414	0.446912	0.348039	0.122288	0.082761	1.325606	
588000	-311.708795	1	2	0	'0 0 0 0 0 1 0 0 	D	0.504703	0.504703	0.504703	0.504703	0.504703	4.004624	0.504703	0.504703	0.701844	0.185627	0.098640	0.013889	1.298510	
589000	-313.512705	1	2	0	'0 0 0 0 0 1 0 0 	D	0.908179	0.908179	0.908179	0.908179	0.908179	2.750654	0.908179	0.908179	0.369617	0.391558	0.144496	0.094330	1.934563	
590000	-310.973579	1	2	0	'0 0 0 0 0 1 0 0 	D	0.589015	0.589015	0.589015	0.589015	0.589015	2.015822	0.589015	0.589015	0.463787	0.351812	0.133522	0.050879	0.784865	
591000	-311.400785	1	2	1	'1 1 1 1 1 0 Z 1 	D	0.873851	0.873851	0.873851	0.873851	0.873851	2.604340	0.000000	0.873851	0.441587	0.550058	0.008264	0.000092	0.892804	
592000	-310.384474	1	2	1	'1 1 1 1 1 0 Z 1 	D	0.796120	0.796120	0.796120	0.796120	0.796120	2.996482	0.000000	0.796120	0.491732	0.499662	0.008524	0.000081	1.713671	
593000	-309.398726	1	2	0	'1 1 1 1 1 0 1 1 	D	0.542432	0.542432	0.542432	0.542432	0.542432	2.998897	0.542432	0.542432	0.608995	0.232509	0.132789	0.025708	1.319849	
594000	-310.118332	1	2	0	'1 1 1 1 1 0 1 1 	D	0.649780	0.649780	0.649780	0.649780	0.649780	2.288601	0.649780	0.649780	0.457148	0.350494	0.137074	0.055284	1.632675	
595000	-309.661425	1	2	0	'1 1 1 1 1 0 1 1 	D	0.573710	0.573710	0.573710	0.573710	0.573710	2.452479	0.573710	0.573710	0.529878	0.292238	0.139413	0.038471	0.937625	
596000	-309.921815	1	2	0	'1 1 1 1 1 0 1 1 	D	0.599039	0.599039	0.599039	0.599039	0.599039	3.605238	0.599039	0.599039	0.603052	0.248412	0.121212	0.027324	1.411862	
597000	-309.587933	1	2	0	'1 1 1 1 1 0 1 1 	D	0.685956	0.685956	0.685956	0.685956	0.685956	3.071165	0.685956	0.685956	0.503335	0.311990	0.137612	0.047064	1.787527	
598000	-309.781117	1	2	0	'1 1 1 1 1 0 1 1 	D	0.707844	0.707844	0.707844	0.707844	0.707844	2.878619	0.707844	0.707844	0.474805	0.331270	0.139909	0.054015	1.360206	
599000	-306.697696	1	2	1	'1 1 1 1 0 0 Z 1 	D	0.680658	0.680658	0.680658	0.680658	1.790979	1.790979	0.000000	0.680658	0.425372	0.547316	0.027133	0.000179	1.078393	
600000	-306.601463	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.545306	0.545306	0.545306	0.545306	2.638231	2.638231	0.000000	0.545306	0.448645	0.499151	0.051910	0.000294	1.659861	
601000	-307.944376	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.434630	0.434630	0.434630	0.434630	1.713673	1.713673	0.000000	0.434630	0.480639	0.471911	0.047291	0.000159	1.734880	
602000	-306.163080	1	2	0	'0 0 0 0 1 1 0 0 	D	0.497350	0.497350	0.497350	0.497350	1.775402	1.775402	0.497350	0.497350	0.266004	0.246668	0.378546	0.108782	1.623525	
603000	-305.445749	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.588366	0.588366	0.588366	0.588366	2.290696	2.290696	0.000000	0.588366	0.441634	0.515879	0.042234	0.000253	1.749799	
604000	-305.757230	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.507250	0.507250	0.507250	0.507250	2.077995	2.077995	0.000000	0.507250	0.460609	0.493277	0.045901	0.000213	1.526714	
605000	-305.819174	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.571544	0.571544	0.571544	0.571544	2.454957	2.454957	0.000000	0.571544	0.444211	0.508999	0.046515	0.000275	1.730617	
606000	-306.196695	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.480970	0.480970	0.480970	0.480970	1.975453	1.975453	0.000000	0.480970	0.467412	0.485203	0.047187	0.000198	1.140720	
607000	-305.762110	1	2	1	'0 0 0 0 1 1 Z 0 	D	0.563591	0.563591	0.563591	0.563591	1.883446	1.883446	0.000000	0.563591	0.448984	0.515820	0.035016	0.000181	1.442929	
608000	-309.986333	1	2	0	'0 0 0 0 0 1 0 0 	D	0.501528	0.501528	0.501528	0.501528	0.501528	3.183268	0.501528	0.501528	0.657426	0.197439	0.126242	0.018893	1.719802	
